                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 1.5688,                  1.526,                 1.5576,                0.61113,                0.45766,                0.50374,                 0.2871,                 1.5073,                 1.3841,                 1.4628,              0.0006932,              0.0006932,              0.0006932
                    134,                 1.5642,                 1.5277,                 1.5672,                0.59543,                0.47946,                 0.5141,                0.29338,                  1.513,                 1.3279,                 1.4653,              0.0006833,              0.0006833,              0.0006833
                    135,                 1.5535,                 1.4877,                 1.5776,                0.60987,                0.47834,                0.52358,                0.29965,                 1.4828,                 1.3078,                  1.451,              0.0006734,              0.0006734,              0.0006734
                    136,                 1.5393,                 1.4913,                 1.5642,                0.59196,                0.47641,                0.50873,                0.29914,                 1.4715,                   1.31,                 1.4524,              0.0006635,              0.0006635,              0.0006635
                    137,                 1.5528,                 1.5045,                 1.5519,                0.60682,                0.48733,                0.52552,                 0.3028,                 1.4834,                 1.2988,                 1.4523,              0.0006536,              0.0006536,              0.0006536
                    138,                 1.5502,                 1.4994,                 1.5601,                0.62609,                0.48443,                0.52709,                0.29909,                 1.4874,                 1.2976,                 1.4502,              0.0006437,              0.0006437,              0.0006437
                    139,                 1.5151,                 1.4506,                 1.5291,                0.60447,                0.48815,                0.52601,                0.30376,                 1.4773,                 1.3056,                 1.4427,              0.0006338,              0.0006338,              0.0006338
                    140,                 1.5384,                 1.4346,                 1.5324,                0.63084,                 0.4863,                0.53329,                0.30852,                 1.4787,                 1.2738,                 1.4521,              0.0006239,              0.0006239,              0.0006239
                    141,                 1.5354,                  1.471,                 1.5347,                0.60582,                0.49145,                0.52768,                 0.3002,                 1.4839,                 1.3202,                   1.45,               0.000614,               0.000614,               0.000614
                    142,                 1.5182,                 1.4658,                 1.5201,                0.62931,                0.48609,                0.53686,                0.30939,                 1.4806,                  1.283,                 1.4438,              0.0006041,              0.0006041,              0.0006041
